blk_no,street,postal_code,name,lat,lon
70,SIANG KUANG AVENUE,347982,SENNETT ESTATE,1.32952027783092,103.872196554216
98,SIANG KUANG AVENUE,347996,SENNETT ESTATE,1.32988945062581,103.873255869891
118,SIANG KUANG AVENUE,348006,SENNETT ESTATE,1.33007380119306,103.87380863494
68,KEE CHOE AVENUE,348993,SENNETT ESTATE,1.33256018288275,103.873396451534
5,KEE CHOE AVENUE,348996,SENNETT ESTATE,1.33046935931866,103.873178814366
74,BELIMBING AVENUE,349951,OASIS @ MULBERRY,1.33291043893765,103.878232516926
229,WOLSKEL ROAD,358014,SERANGOON PARK,1.34658603279492,103.867982556536
5,MUSWELL HILL,358420,MOSELLA,1.34445395835935,103.862188763449
14,JALAN RIANG,358986,SERANGOON PARK,1.34769165218319,103.867296449426
24,JALAN RIANG,358993,SERANGOON PARK,1.34749111139292,103.867022732405
30,JALAN RIANG,358999,SERANGOON PARK,1.34736836763621,103.866887330446
40,JALAN RIANG,359009,SERANGOON PARK,1.34716814497999,103.866605967693
146P,BRADDELL ROAD,359962,MEDALLION,1.34396323031617,103.862306231012
28,BRADDELL ROAD,359966,E MAISON,1.34328286670471,103.869217344339
10,JOO SENG ROAD,360010,NIL,1.33461833377097,103.88016502252
11,PLAYFAIR ROAD,367986,NIL,1.33378026953796,103.886359096776
15,PLAYFAIR ROAD,367987,FGA @ PLAYFAIR,1.33392207321982,103.886322871651
27,PLAYFAIR ROAD,367991,NIL,1.33439386303131,103.886115307651
36,JALAN KEMAJUAN,368992,MACPHERSON GARDEN ESTATE,1.33335946995126,103.881682497259
48,JALAN KEMAJUAN,368998,MACPHERSON GARDEN ESTATE,1.33364144439158,103.881623366419
9,HAPPY AVENUE CENTRAL,369902,HAPPY GARDENS,1.3304751590234,103.881191292886
102,ALJUNIED CRESCENT,380102,NIL,1.3204390302197,103.882420433245
36A,UPPER BOON KENG ROAD,381036,KALLANG VIEW,1.31737546326765,103.873477774286
7B,LORONG 1 GEYLANG,382007,KALLANG HORIZON,1.31216334302262,103.87064285835
1,MATTAR ROAD,387725,MASJID SALLIM MATTAR,1.32574679283198,103.881230367298
28,LORONG 31 GEYLANG,388038,MANSIONS 28,1.31525702251664,103.887174862978
4B,LORONG 29 GEYLANG,388059,YINCHUAN BUILDING,1.31409425354737,103.885861370723
4C,LORONG 29 GEYLANG,388059,YINCHUAN BUILDING,1.31409425354737,103.885861370723
4A,LORONG 29 GEYLANG,388059,YINCHUAN BUILDING,1.31409425354737,103.885861370723
8,LORONG 29 GEYLANG,388064,TORIEVIEW MANSIONS,1.31448170168624,103.885985749034
83,GEYLANG ROAD,389200,NIL,1.31081213463953,103.872966628179
83A,GEYLANG ROAD,389200,NIL,1.31081213463955,103.872966627907
83B,GEYLANG ROAD,389200,NIL,1.31081213463955,103.872966627907
83C,GEYLANG ROAD,389200,NIL,1.31081213463955,103.872966627907
730,GEYLANG ROAD,389641,GEYLANG CONSERVATION AREA,1.31481827472163,103.891761933915
730A,GEYLANG ROAD,389641,GEYLANG CONSERVATION AREA,1.31481827499536,103.891761933643
730B,GEYLANG ROAD,389641,GEYLANG CONSERVATION AREA,1.31481827499536,103.891761933643
13,OLD AIRPORT ROAD,390013,NIL,1.30697250703265,103.883589125034
21,OLD AIRPORT ROAD,390021,NIL,1.30742112024773,103.884541022327
3,PINE CLOSE,392003,NIL,1.30692877602797,103.883110476119
233,MOUNTBATTEN ROAD,398000,MOUNTBATTEN CENTRE,1.3080998988574,103.880894956294
54,LORONG 16 GEYLANG,398884,NIL,1.31091987592345,103.87974216055
54A,LORONG 16 GEYLANG,398884,NIL,1.31091987564971,103.879742160822
54B,LORONG 16 GEYLANG,398884,NIL,1.31091987564971,103.879742160822
54C,LORONG 16 GEYLANG,398884,NIL,1.31091987564971,103.879742160822
27,LORONG 14 GEYLANG,398936,NIL,1.31131962920849,103.879354350507
1,LORONG 12 GEYLANG,398982,PADDY GREEN,1.3120786072378,103.878399313302
47,LORONG 4 GEYLANG,399291,NIL,1.30952911256651,103.876275421917
47A,LORONG 4 GEYLANG,399291,NIL,1.30952911284026,103.876275421645
47B,LORONG 4 GEYLANG,399291,NIL,1.30952911284026,103.876275421645
